code,platform,module,variant,level,description,en_implication,en_solution,zh_implication,zh_solution,de_implication,de_solution,fr_implication,fr_solution,it_implication,it_solution,ja_implication,ja_solution,es_implication,es_solution,cs_implication,cs_solution,ko_implication,ko_solution,sk_implication,sk_solution,pl_implication,pl_solution,nl_implication,nl_solution,da_implication,da_solution,sr_implication,sr_solution,sv_implication,sv_solution,sl_implication,sl_solution,pt_implication,pt_solution,hu_implication,hu_solution,hr_implication,hr_solution,no_implication,no_solution,fi_implication,fi_solution,ro_implication,ro_solution,bg_implication,bg_solution,et_implication,et_solution,lv_implication,lv_solution,lt_implication,lt_solution
470,3,common,STATE_470,1,右刀盘电机换向启动超时,Timeout occurred in the commutation of the right cutting disk motor,"Please turn off the robot and check if the cutting disk is jammed. If not, restart the robot. If the issue persists, please contact the after-sales support",右刀盘电机换向启动超时,请在机器关机情况下，检查刀盘否被卡住或者被缠绕。若多次重启无效，请联系售后,Timeout des rechten Schneide scheiben motors,"Bitte überprüfen Sie, ob der Messer teller fests teckt oder verwickelt ist, wenn die Maschine aus geschaltet ist. Wenn mehrere Neustarts ungültig sind, wenden Sie sich bitte an den Kundendienst",Drousel de démarrage de changement de direction du moteur de la plaque de coupe droite,"Veuillez vérifier si la lame est bloquée ou enchevêtrée lorsque la machine est éteinée. Si plusieurs redémarrages sont invalides, veuillez contacter après-vente",Timeout di inizio della commutazione del motore della testa di taglio destra,"Si prega di verificare se la testa del cutter è bloccata o impigliata quando la macchina è spenta. Se più riavvii non sono validi, si prega di contattare post-vendita",,,El motor de la placa de cuchilla derecha se repone para arrancar,"Compruebe si la cuchilla está atascada o enredada cuando la máquina esté apagada. Si varios reinicios no son válidos, comuníquese con el servicio posventa",Vpravo řezná hlava motor komutace počáteční časový limit,"Zkontrolujte, zda je hlava řezače zaseklá nebo zapletená, když je stroj vypnut. Pokud je opakované restartování neplatné, obraťte se na následný prodej.",,,Pravé cutterhead motor commutation start timeout,"Skontrolujte, či je hlava rezania uviaznutá alebo zapletená, keď je stroj vypnutý. Ak viac reštartov nie je platné, kontaktujte prosím po predaji",Wyznaczony limit czasu na rozpoczęcie komutacji silnika prawej głowicy,"Proszę sprawdzić, czy głowica tnąca jest zablokowana lub splątana, gdy maszyna jest wyłączona. Jeśli wiele restartów jest nieprawidłowych, skontaktuj się z posprzedażnym",Rechts cutterhead motor commutatie start time-out,"Controleer of de snijkop vastzit of verstrikt raakt wanneer de machine wordt uitgeschakeld. Als meerdere herstarts ongeldig zijn, neem dan contact op met de after-sales",Højre cutterhead motor pendling timeout starter,"Tjek venligst, om skærehovedet sidder fast eller indfiltrer, når maskinen er slukket. Hvis flere genstarter er ugyldige, kontakt venligst eftersalg",,,Höger cutterhead motor pendeltidsstart,Kontrollera om skärhuvudet har fastnat eller insnärmat när maskinen är avstängd. Om flera omstart är ogiltiga,Čas začetka zagona motorja z desno kapo,"Prosimo, preverite, ali je glava rezalnika zataknjena ali zapletena, ko je stroj izklopljen. Če več ponovnih zagonov niso veljavni, se obrnite na poprodaji",,,,,,,,,,,,,,,,,,,,
486,3,common,STATE_486,1,左卷草电机通讯异常,Communication error detected in the left sweeping motor,"Restart the robot. If the issue persists, please contact our after-sales support",左卷草电机通讯异常,重启设备，若多次重启无效，请联系售后,Abnormale Kommunikation des linken Curl-Motors,"Starten Sie das Gerät neu. Wenn mehrere Neustarts ungültig sind, wenden Sie sich bitte an den Kundendienst",Anomalie de communication du moteur à enroulement gauche,"Redémarrez l'appareil, si plusieurs redémarrages sont invalides, veuillez contacter après-vente",Anomalia della comunicazione del motore di curling sinistro,"Riavvia il dispositivo. Se più riavvii non sono validi, contatta il servizio post-vendita.",,,Comunicación anormal del motor de hierba enrollada izquierda,"Reinicie el equipo, si varios reinicios no son válidos, comuníquese con el servicio posventa",Left curling motor communication abnormality,"Restartujte zařízení. Pokud více restartů není platné, obraťte se na poprodejní službu.",,,Ľavé curling motor komunikácie abnormality,"Reštartovať zariadenie. Ak je viacero reštartov neplatné, kontaktujte prosím popredajnú službu.",Nieprawidłowość w komunikacji lewego silnika curlingowego,"Uruchom ponownie urządzenie. Jeśli wiele restartów jest nieprawidłowych, skontaktuj się z działem obsługi posprzedażnej.",Left curling motor communicatie afwijking,"Start het apparaat opnieuw op. Als meerdere herstarts ongeldig zijn, kunt u contact opnemen met de after-sales service.",Kommunikationsfejl registreret i venstre fejemotor,"Genstart robotten. Hvis problemet fortsætter, bedes du kontakte vores eftersalgssupport",,,Kommunikationsfel upptäckt i den vänstra sopmotorn,"Starta om roboten. Om problemet kvarstår, kontakta vår kundsupport",Nepravilnost motornega komunikacije z levo kodrlo,"Zaženi napravo. Če več ponovnih zagonov niso veljavni, se obrnite na poprodajne storitve.",,,,,,,,,,,,,,,,,,,,
488,3,common,STATE_488,1,左卷草电机电压过低,The voltage of the left sweeping motor is too low,"Restart the robot. If the issue persists, please contact our after-sales support",左卷草电机电压过低,重启设备，若多次重启无效，请联系售后,Die Spannung des linken Curling-Motors ist zu niedrig,"Starten Sie das Gerät neu. Wenn mehrere Neustarts ungültig sind, wenden Sie sich bitte an den Kundendienst",La tension du moteur de curling gauche est trop basse,"Redémarrez l'appareil, si plusieurs redémarrages sont invalides, veuillez contacter après-vente",Tensione del motore di curling sinistro troppo bassa,"Riavvia il dispositivo. Se più riavvii non sono validi, contatta il servizio post-vendita.",,,El voltaje del motor de la hierba izquierda es demasiado bajo,"Reinicie el equipo, si varios reinicios no son válidos, comuníquese con el servicio posventa",Levé napětí motoru curlingu příliš nízké,"Restartujte zařízení. Pokud více restartů není platné, obraťte se na poprodejní službu.",,,Vľavo curling motora napätie príliš nízke,"Reštartovať zariadenie. Ak je viacero reštartov neplatné, kontaktujte prosím popredajnú službu.",Zbyt niskie napięcie silnika w lewo,"Uruchom ponownie urządzenie. Jeśli wiele restartów jest nieprawidłowych, skontaktuj się z działem obsługi posprzedażnej.",Linker krulmotorspanning te laag,"Start het apparaat opnieuw op. Als meerdere herstarts ongeldig zijn, kunt u contact opnemen met de after-sales service.",Spændingen på venstre fejemotor er for lav,"Genstart robotten. Hvis problemet fortsætter, bedes du kontakte vores support",,,Spänningen på den vänstra sopmotorn är för låg,"Starta om roboten. Om problemet kvarstår, kontakta vår kundsupport",Prenizka motorna napetost levi kodrli,"Zaženi napravo. Če več ponovnih zagonov niso veljavni, se obrnite na poprodajne storitve.",,,,,,,,,,,,,,,,,,,,
490,3,mcu,STATE_490,1,集草电机过流,Sweeping motor overcurrent,"Restart the robot. If the issue persists, please contact our after-sales support",集草电机过流,重启设备，若多次重启无效，请联系售后,Überstrom am Kehrmotor,"Starten Sie den Roboter neu. Wenn das Problem weiterhin besteht, wenden Sie sich bitte an unseren Kundendienst",Surintensité du moteur de balayage,"Redémarrez le robot. Si le problème persiste, veuillez contacter notre service après-vente",Sovracorrente motore unità spazzola,"Riavviare il robot. Se il problema persiste, contattare il nostro centro di assistenza post-vendita",,,Sobrecorriente del motor de barrido,"Reinicie el robot. Si el problema persiste, póngase en contacto con nuestro servicio postventa",Nadproud motoru sběru,"Restartujte robot. Pokud problém přetrvává, obraťte se na naši poprodejní podporu",,,Nadmerný prúd v motore zametania,"Reštartujte robota. Ak problém pretrváva, obráťte sa na naše oddelenie podpory po predaji",Przeciążenie silnika zamiatającego,"Uruchom ponownie robota. Jeśli problem będzie się powtarzał, skontaktuj się z naszym serwisem posprzedażnym",Vegende motoroverstroom,"Start de robot opnieuw. Als het probleem aanhoudt, neem dan contact op met onze dienst na verkoop",Overspænding på fejemotor,"Genstart robotten. Kontakt vores kundesupport, hvis problemet varer ved",,,Överström i sopningsmotor,Starta om roboten. Om problemet kvarstår ber vi dig kontakta vår eftermarknadssupport,Nadtok motorja za pometanje,"Znova zaženite robota. Če težave ne morete odpraviti, se obrnite na našo poprodajno podporo",Sobreintensidade do motor de varrimento,"Reinicie o robô. Se o problema persistir, contacte a nossa assistência pós-venda",Söprő motor túláram,"Indítsa újra a robotot. Ha a probléma továbbra is fennáll, kérjük, forduljon értékesítés utáni ügyfélszolgálatunkhoz",Nadstruja motora za čišćenje,"Ponovno pokrenite robota. Ako se problem ne riješi, obratite se našoj poslijeprodajnoj podršci",Overspenning i feiemotor,Start roboten på nytt. Kontakt vår ettersalgsstøtte hvis problemet vedvarer,Lakaisumoottorin ylivirta,"Käynnistä robotti uudelleen. Jos ongelma jatkuu, ota yhteyttä myynnin jälkeiseen tukeen",Supracurent motor cu baleiaj,"Reporniți robotul. Dacă problema persistă, vă rugăm să contactați asistența noastră post-vânzare",Свръхток в мотора за изчистване,"Рестартирайте робота. Ако проблемът продължава, свържете се с нашия екип за обслужване на клиенти",Pühkimismootori liigvool,"Taaskäivitage robot. Kui probleem püsib, võtke ühendust meie müügijärgse toega",Slaucīšanas motora strāvas pārslodze,"Restartējiet robotu. Ja problēma joprojām pastāv, lūdzu, sazinieties ar mūsu pēcpārdošanas atbalsta dienestu",Per didelė šlavimo variklio srovė,"Paleiskite robotą iš naujo. Jei problema išlieka, susisiekite su mūsų aptarnavimo komanda"
492,3,common,STATE_492,1,左卷草电机控制器过载,Peak power overload on the left sweeping motor controller,"Please turn off the robot to check if the roller is jammed. If not, restart the robot. If the issue persists, please contact the after-sales support",左卷草电机控制器峰值功率过载,请在机器关机情况下，检查滚轮是否被卡柱或者被缠绕住。若多次重启无效，请联系售后,Linke Curl-Motors teuerung Spitzen leistung Überlastung,"Schalten Sie den Roboter aus, um zu überprüfen, ob die Trennscheibe blockiert ist. Wenn nicht, starten Sie den Roboter neu. Wenn das Problem weiterhin besteht, wenden Sie sich bitte an den Kundendienst",Surcharge de puissance de crête du contrôleur de moteur de curling gauche,"Veuillez éteindre le robot pour vérifier si le disque de coupe est bloqué. Si ce n'est pas le cas, redémarrez le robot. Si le problème persiste, veuillez contacter le support après-vente",Sovraccarico di potenza di picco del controller del motore curling sinistro,"Si prega di spegnere il robot per verificare se il disco da taglio è bloccato. Se non lo è, riavviare il robot. Se il problema persiste, si prega di contattare l'assistenza post-vendita",,,Controlador de motor de hierba enrollada izquierda sobrecarga de potencia máxima,"Por favor, apague el robot para comprobar si el disco de corte está atascado. Si no es así, reinicie el robot. Si el problema persiste, póngase en contacto con el soporte posventa",Levá regulátor curlingu špičkový výkon přetížení,"Vypněte robota a zkontrolujte, zda je řezací kotouč zaseknutý. Pokud ne, restartujte robota. Pokud problém přetrvává, kontaktujte zákaznickou podporu",,,Vľavo curling motor regulátor vrchol výkon preťaženie,"Prosím, vypnite robota a skontrolujte, či je rezný kotúč zaseknutý. Ak nie je, reštartujte robota. Ak problém pretrváva, kontaktujte popredajnú podporu",Przeciążenie szczytowej mocy kontrolera lewego silnika curlingu,"Proszę wyłączyć robota, aby sprawdzić, czy tarcza tnąca jest zablokowana. Jeśli nie, uruchom ponownie robota. Jeśli problem nadal występuje, skontaktuj się z pomocą posprzedażną",Linker curling motor controller piekvermogen overbelasting,"Schakel de robot uit om te controleren of het snijwiel geblokkeerd is. Zo niet, herstart de robot. Als het probleem aanhoudt, neem dan contact op met de klantenservice",Styringen på venstre fejemotor er overbelastet,"Sluk robotten for at kontrollere, om skæreskiven er blokeret. Hvis ikke, genstart robotten. Hvis problemet fortsætter, bedes du kontakte kundesupporten",,,Styrenheten för den vänstra sopmotorn är överbelastad,"Stäng av roboten för att kontrollera om skärskivan är fastklämd. Om inte, starta om roboten. Om problemet kvarstår, kontakta efterförsäljningssupporten",Levi motorni krmilnik vrhunec moči preobremenitve preobremenitva,"Prosimo, izklopite robota, da preverite, ali je rezalni disk zagozden. Če ni, znova zaženite robota. Če težava vztraja, se obrnite na podporo po prodaji",,,,,,,,,,,,,,,,,,,,
493,3,common,STATE_493,1,左卷草电机过载,The left sweeping motor is overloaded,"Please turn off the robot to check if the roller is jammed. If not, restart the robot. If the issue persists, please contact the after-sales support",左卷草电机过载,请在机器关机情况下，检查滚轮是否被卡柱或者被缠绕住。若多次重启无效，请联系售后,Linke Curle Motor überlast,"Schalten Sie den Roboter aus, um zu überprüfen, ob die Trennscheibe blockiert ist. Wenn nicht, starten Sie den Roboter neu. Wenn das Problem weiterhin besteht, wenden Sie sich bitte an den Kundendienst",Surcharge du moteur de curling gauche,"Veuillez éteindre le robot pour vérifier si le disque de coupe est bloqué. Si ce n'est pas le cas, redémarrez le robot. Si le problème persiste, veuillez contacter le support après-vente",Sovraccarico del motore dell'erba di curling sinistro,"Si prega di spegnere il robot per verificare se il disco da taglio è bloccato. Se non lo è, riavviare il robot. Se il problema persiste, si prega di contattare l'assistenza post-vendita",,,Sobrecarga del motor de la hierba izquierda,"Por favor, apague el robot para comprobar si el disco de corte está atascado. Si no es así, reinicie el robot. Si el problema persiste, póngase en contacto con el soporte posventa",Left curling grass motor overload,"Vypněte robota a zkontrolujte, zda je řezací kotouč zaseknutý. Pokud ne, restartujte robota. Pokud problém přetrvává, kontaktujte zákaznickou podporu",,,Vľavo curling tráva motor preťaženie,"Prosím, vypnite robota a skontrolujte, či je rezný kotúč zaseknutý. Ak nie je, reštartujte robota. Ak problém pretrváva, kontaktujte popredajnú podporu",Przeciążenie silnika trawiastego po lewej stronie,"Proszę wyłączyć robota, aby sprawdzić, czy tarcza tnąca jest zablokowana. Jeśli nie, uruchom ponownie robota. Jeśli problem nadal występuje, skontaktuj się z pomocą posprzedażną",Overbelasting van de linker curling grasmotor,"Schakel de robot uit om te controleren of het snijwiel geblokkeerd is. Zo niet, herstart de robot. Als het probleem aanhoudt, neem dan contact op met de klantenservice",Den venstre fejemotor er overbelastet,"Sluk robotten for at kontrollere, om skæreskiven er blokeret. Hvis ikke, genstart robotten. Hvis problemet fortsætter, bedes du kontakte kundesupporten",,,Den vänstra sopmotorn är överbelastad,"Stäng av roboten för att kontrollera om skärskivan är fastklämd. Om inte, starta om roboten. Om problemet kvarstår, kontakta efterförsäljningssupporten",Preobremenitev motorja levo kodre trave,"Prosimo, izklopite robota, da preverite, ali je rezalni disk zagozden. Če ni, znova zaženite robota. Če težava vztraja, se obrnite na podporo po prodaji",,,,,,,,,,,,,,,,,,,,
498,3,common,STATE_498,1,左卷草电机换向超时,Timeout occurred in the commutation of the left sweeping motor,"Please turn off the robot to check if the roller is jammed. If not, restart the robot. If the issue persists, please contact the after-sales support",左卷草电机换向超时,请在机器关机情况下，检查滚轮是否被卡柱或者被缠绕住。若多次重启无效，请联系售后,Wechselzeit des linken Curl-Motors,"Schalten Sie den Roboter aus, um zu überprüfen, ob die Trennscheibe blockiert ist. Wenn nicht, starten Sie den Roboter neu. Wenn das Problem weiterhin besteht, wenden Sie sich bitte an den Kundendienst",Dérive de changement de direction du moteur de curling gauche,"Veuillez éteindre le robot pour vérifier si le disque de coupe est bloqué. Si ce n'est pas le cas, redémarrez le robot. Si le problème persiste, veuillez contacter le support après-vente",Timeout di commutazione del motore di curling sinistro,"Si prega di spegnere il robot per verificare se il disco da taglio è bloccato. Se non lo è, riavviare il robot. Se il problema persiste, si prega di contattare l'assistenza post-vendita",,,El motor de hierba enrollada a la izquierda cambia el tiempo de espera,"Por favor, apague el robot para comprobar si el disco de corte está atascado. Si no es así, reinicie el robot. Si el problema persiste, póngase en contacto con el soporte posventa",Left curling motor commutation timeout,"Vypněte robota a zkontrolujte, zda je řezací kotouč zaseknutý. Pokud ne, restartujte robota. Pokud problém přetrvává, kontaktujte zákaznickou podporu",,,Levá curling motor commutation timeout,"Prosím, vypnite robota a skontrolujte, či je rezný kotúč zaseknutý. Ak nie je, reštartujte robota. Ak problém pretrváva, kontaktujte popredajnú podporu",Wyznaczony limit czasu komutacji lewego silnika curlingowego,"Proszę wyłączyć robota, aby sprawdzić, czy tarcza tnąca jest zablokowana. Jeśli nie, uruchom ponownie robota. Jeśli problem nadal występuje, skontaktuj się z pomocą posprzedażną",Time-out voor commutatie van de linker curling-motor,"Schakel de robot uit om te controleren of het snijwiel geblokkeerd is. Zo niet, herstart de robot. Als het probleem aanhoudt, neem dan contact op met de klantenservice",Timeout opstod i komunikation med den venstre fejemotor,"Sluk robotten for at kontrollere, om skæreskiven er blokeret. Hvis ikke, genstart robotten. Hvis problemet fortsætter, bedes du kontakte kundesupporten",,,Timeout inträffade i kommuteringen av den vänstra svepmotorn,"Stäng av roboten för att kontrollera om skärskivan är fastklämd. Om inte, starta om roboten. Om problemet kvarstår, kontakta efterförsäljningssupporten",Časovni razporeditev motorja v levi kodr,"Prosimo, izklopite robota, da preverite, ali je rezalni disk zagozden. Če ni, znova zaženite robota. Če težava vztraja, se obrnite na podporo po prodaji",,,,,,,,,,,,,,,,,,,,
499,3,common,STATE_499,1,左卷草电机启动超时,Timeout occurred in the startup of the left sweeping motor,"Please turn off the robot to check if the roller is jammed. If not, restart the robot. If the issue persists, please contact the after-sales support",左卷草电机启动超时,请在机器关机情况下，检查滚轮是否被卡柱或者被缠绕住。若多次重启无效，请联系售后,Timeout des linken Curling-Motors,"Schalten Sie den Roboter aus, um zu überprüfen, ob die Trennscheibe blockiert ist. Wenn nicht, starten Sie den Roboter neu. Wenn das Problem weiterhin besteht, wenden Sie sich bitte an den Kundendienst",Le moteur de curling gauche démarre le délai d'attente,"Veuillez éteindre le robot pour vérifier si le disque de coupe est bloqué. Si ce n'est pas le cas, redémarrez le robot. Si le problème persiste, veuillez contacter le support après-vente",Timeout di avvio del motore di curling grass sinistro,"Si prega di spegnere il robot per verificare se il disco da taglio è bloccato. Se non lo è, riavviare il robot. Se il problema persiste, si prega di contattare l'assistenza post-vendita",,,El motor de la hierba izquierda arranca el tiempo de espera,"Por favor, apague el robot para comprobar si el disco de corte está atascado. Si no es así, reinicie el robot. Si el problema persiste, póngase en contacto con el soporte posventa",Left curling grass motor startup timeout,"Vypněte robota a zkontrolujte, zda je řezací kotouč zaseknutý. Pokud ne, restartujte robota. Pokud problém přetrvává, kontaktujte zákaznickou podporu",,,Vľavo curling grass motor startup timeout,"Prosím, vypnite robota a skontrolujte, či je rezný kotúč zaseknutý. Ak nie je, reštartujte robota. Ak problém pretrváva, kontaktujte popredajnú podporu",Wyłączny limit czasu uruchamiania lewego silnika trawiastego,"Proszę wyłączyć robota, aby sprawdzić, czy tarcza tnąca jest zablokowana. Jeśli nie, uruchom ponownie robota. Jeśli problem nadal występuje, skontaktuj się z pomocą posprzedażną",Time-out voor het opstarten van een rijgras,"Schakel de robot uit om te controleren of het snijwiel geblokkeerd is. Zo niet, herstart de robot. Als het probleem aanhoudt, neem dan contact op met de klantenservice",Timeout opstod ved opstart af venstre fejemotor,"Sluk robotten for at kontrollere, om skæreskiven er blokeret. Hvis ikke, genstart robotten. Hvis problemet fortsætter, bedes du kontakte kundesupporten",,,Timeout inträffade vid start av den vänstra sopmotorn,"Stäng av roboten för att kontrollera om skärskivan är fastklämd. Om inte, starta om roboten. Om problemet kvarstår, kontakta efterförsäljningssupporten",Začetni čas za začetek trave z levo curling trava,"Prosimo, izklopite robota, da preverite, ali je rezalni disk zagozden. Če ni, znova zaženite robota. Če težava vztraja, se obrnite na podporo po prodaji",,,,,,,,,,,,,,,,,,,,
500,3,common,STATE_500,1,左卷草电机温度异常,Temperature error detected in the left sweeping motor,"The robot will come back to normal once the motor temperature decreases. This may take several minutes. Alternatively, you can restart the robot. If the issue persists, please contact our after-sales support",左卷草电机温度异常,温度下降后设备将恢复正常，该过程可能需要几分钟；或者重启设备，若多次重启无效，请联系售后,Abnormale Temperatur des linken Curling-Motors,"Das Gerät kehrt nach dem Temperatur abfall zum Normalzustand zurück. Der Vorgang kann einige Minuten dauern, oder das Gerät wird neu gestartet. Wenn mehrere Neustarts ungültig sind, wenden Sie sich bitte an den Kundendienst",Température anormale du moteur de curling gauche,"L'équipement reviendra à la normale après la baisse de température, le processus peut prendre quelques minutes; ou redémarrer l'appareil, si plusieurs redémarrages ne fonctionnent pas, veuillez contacter après-vente",Temperatura anormale del motore dell'erba di curling sinistro,"Dopo che la temperatura scende, il dispositivo tornerà alla normalità. Questo processo può richiedere diversi minuti; o riavviare il dispositivo. Se più riavvii non sono validi, contatta il servizio post-vendita",,,La temperatura del motor de la hierba izquierda es anormal,"El equipo volverá a la normalidad después de que baje la temperatura, el proceso puede tardar varios minutos; o reiniciar el equipo, si varios reinicios no son válidos, comuníquese con el servicio posventa",Abnormální teplota levé curling grass motor,"Po poklesu teploty se zařízení vrátí k normálu. Tento proces může trvat několik minut; nebo restartovat zařízení. Pokud více restartů není platné, obraťte se na poprodejní službu",,,Abnormálna teplota ľavého curlingového trávového motora,"Po poklese teploty sa zariadenie vráti do normálu. Tento proces môže trvať niekoľko minút; alebo reštartovať zariadenie. Ak viac reštartov nie je platné, obráťte sa na popredajný servis",Nieprawidłowa temperatura lewego silnika trawy curling,"Po spadku temperatury urządzenie powróci do normy. Ten proces może potrwać kilka minut; lub uruchom ponownie urządzenie. Jeśli wiele restartów jest nieprawidłowych, skontaktuj się z serwisem posprzedażowym",Abnormale temperatuur van de linker curling grasmotor,"Nadat de temperatuur is gedaald, keert het apparaat terug naar normaal. Dit proces kan enkele minuten duren; of start het apparaat opnieuw op. Als meerdere herstarts ongeldig zijn, neem dan contact op met de after-sales service",Temperaturfejl registreret i venstre fejemotor,"Robotten vender tilbage til normal, når motortemperaturen falder. Dette kan tage flere minutter. Alternativt kan du genstarte robotten. Hvis problemet fortsætter, bedes du kontakte vores support",,,Temperatur fel upptäckt i den vänstra sopmotorn,"Roboten kommer att återgå till det normala när motortemperaturen sjunker. Det här kan ta flera minuter. Alternativt kan du starta om roboten. Om problemet kvarstår, vänligen kontakta vår kundsupport",Nenormalna temperatura,"Po padcu temperature se naprava vrne v normalno stanje. Ta postopek lahko traja več minut ali pa ponovno zažene napravo. Če več ponovnih zagonov niso veljavni, se obrnite na storitve pop-prodaje",,,,,,,,,,,,,,,,,,,,
501,3,common,STATE_501,1,左卷草电机MOS温度异常,Temperature error detected in the left sweeping motor MOS,"The robot will come back to normal once the motor temperature decreases. This may take several minutes. Alternatively, you can restart the robot. If the issue persists, please contact our after-sales support",左卷草电机MOS温度异常,温度下降后设备将恢复正常，该过程可能需要几分钟；或者重启设备，若多次重启无效，请联系售后,Linke Curling Motor MOS Temperatur abnormal,"Das Gerät kehrt nach dem Temperatur abfall zum Normalzustand zurück. Der Vorgang kann einige Minuten dauern, oder das Gerät wird neu gestartet. Wenn mehrere Neustarts ungültig sind, wenden Sie sich bitte an den Kundendienst",Température anormale du moteur MOS à enroule gauche,"L'équipement reviendra à la normale après la baisse de température, le processus peut prendre quelques minutes; ou redémarrer l'appareil, si plusieurs redémarrages ne fonctionnent pas, veuillez contacter après-vente",La temperatura del motore di curling sinistro MOS è anormale,"Dopo che la temperatura scende, il dispositivo tornerà alla normalità. Questo processo può richiedere diversi minuti; o riavviare il dispositivo. Se più riavvii non sono validi, contatta il servizio post-vendita",,,Motor de hierba izquierda MOS temperatura anormal,"El equipo volverá a la normalidad después de que baje la temperatura, el proceso puede tardar varios minutos; o reiniciar el equipo, si varios reinicios no son válidos, comuníquese con el servicio posventa",Levý curling motor mos teplota je abnormální,"Po poklesu teploty se zařízení vrátí k normálu. Tento proces může trvat několik minut; nebo restartovat zařízení. Pokud více restartů není platné, obraťte se na poprodejní službu",,,Ľavý curling motor mos teplota je abnormálne,"Po poklese teploty sa zariadenie vráti do normálu. Tento proces môže trvať niekoľko minút; alebo reštartovať zariadenie. Ak viac reštartov nie je platné, obráťte sa na popredajný servis",Lewy silnik zwijający Temperatura MOS jest nienormalna,"Po spadku temperatury urządzenie powróci do normy. Ten proces może potrwać kilka minut; lub uruchom ponownie urządzenie. Jeśli wiele restartów jest nieprawidłowych, skontaktuj się z serwisem posprzedażowym",Linker curling motor MOS temperatuur is abnormaal,"Nadat de temperatuur is gedaald, keert het apparaat terug naar normaal. Dit proces kan enkele minuten duren; of start het apparaat opnieuw op. Als meerdere herstarts ongeldig zijn, neem dan contact op met de after-sales service",Temperaturfejl registreret i venstre fejemotor MOS,"Robotten vender tilbage til normal, når motortemperaturen falder. Dette kan tage flere minutter. Alternativt kan du genstarte robotten. Hvis problemet fortsætter, bedes du kontakte vores support",,,Temperatur fel upptäckts i den vänstra sopmotorns MOS,"Roboten kommer att återgå till det normala när motortemperaturen sjunker. Det här kan ta flera minuter. Alternativt kan du starta om roboten. Om problemet kvarstår, vänligen kontakta vår kundsupport",Temperatura levo kodiranje motorja MOS je nenormalna.,"Po padcu temperature se naprava vrne v normalno stanje. Ta postopek lahko traja več minut ali pa ponovno zažene napravo. Če več ponovnih zagonov niso veljavni, se obrnite na storitve pop-prodaje",,,,,,,,,,,,,,,,,,,,
502,3,common,STATE_502,1,左刀盘电机换向启动超时,Timeout occurred in the commutation of the left sweeping motor,"Please turn off the robot to check if the roller is jammed. If not, restart the robot. If the issue persists, please contact the after-sales support",左卷草电机换向启动超时,请在机器关机情况下，检查滚轮是否被卡柱或者被缠绕住。若多次重启无效，请联系售后,Timeout des linken Curling-Motors,"Schalten Sie den Roboter aus, um zu überprüfen, ob die Trennscheibe blockiert ist. Wenn nicht, starten Sie den Roboter neu. Wenn das Problem weiterhin besteht, wenden Sie sich bitte an den Kundendienst",Dosage de démarrage de changement de direction du moteur de curling gauche,"Veuillez éteindre le robot pour vérifier si le disque de coupe est bloqué. Si ce n'est pas le cas, redémarrez le robot. Si le problème persiste, veuillez contacter le support après-vente",Timeout di inizio della commutazione del motore di curling sinistro,"Si prega di spegnere il robot per verificare se il disco da taglio è bloccato. Se non lo è, riavviare il robot. Se il problema persiste, si prega di contattare l'assistenza post-vendita",,,El motor de hierba enrollada a la izquierda comienza con tiempo de espera,"Por favor, apague el robot para comprobar si el disco de corte está atascado. Si no es así, reinicie el robot. Si el problema persiste, póngase en contacto con el soporte posventa",Vlevo curling motor commutation start timeout,"Vypněte robota a zkontrolujte, zda je řezací kotouč zaseknutý. Pokud ne, restartujte robota. Pokud problém přetrvává, kontaktujte zákaznickou podporu",,,Vľavo curling motor commutation start timeout,"Prosím, vypnite robota a skontrolujte, či je rezný kotúč zaseknutý. Ak nie je, reštartujte robota. Ak problém pretrváva, kontaktujte popredajnú podporu",Wyznaczony limit czasu na uruchomienie lewego silnika curlingowego,"Proszę wyłączyć robota, aby sprawdzić, czy tarcza tnąca jest zablokowana. Jeśli nie, uruchom ponownie robota. Jeśli problem nadal występuje, skontaktuj się z pomocą posprzedażną",Linker curling motor commutatie start time-out,"Schakel de robot uit om te controleren of het snijwiel geblokkeerd is. Zo niet, herstart de robot. Als het probleem aanhoudt, neem dan contact op met de klantenservice",Tidsbestemmelse til venstre curling motor penmutation til venstre.,"Sluk robotten for at kontrollere, om skæreskiven er blokeret. Hvis ikke, genstart robotten. Hvis problemet fortsætter, bedes du kontakte kundesupporten",,,Tidsstart för vänster curling motor penmutering av motorn,"Stäng av roboten för att kontrollera om skärskivan är fastklämd. Om inte, starta om roboten. Om problemet kvarstår, kontakta efterförsäljningssupporten",Čas začetnega zagona motorja z levo kodrino,"Prosimo, izklopite robota, da preverite, ali je rezalni disk zagozden. Če ni, znova zaženite robota. Če težava vztraja, se obrnite na podporo po prodaji",,,,,,,,,,,,,,,,,,,,
